City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,Chara,56.9064,118.2631,11.5,69,98,1.07,RU,2021-11-08 02:42:58
139,Dawlatabad,36.4141,64.9053,42.44,58,99,3.56,AF,2021-11-08 02:38:31
140,Rocha,-34.4833,-54.3333,49.48,91,0,3.71,UY,2021-11-08 02:41:26
141,Huntsville,34.7304,-86.5861,51.39,79,1,3.0,US,2021-11-08 02:32:48
142,Mount Gambier,-37.8333,140.7667,60.71,51,90,10.36,AU,2021-11-08 02:40:52
143,Tashtyp,52.7939,89.8983,29.37,69,88,3.29,RU,2021-11-08 02:42:59
144,Kaitangata,-46.2817,169.8464,61.93,77,90,6.71,NZ,2021-11-08 02:39:35
145,Hokitika,-42.7167,170.9667,63.0,65,0,9.95,NZ,2021-11-08 02:43:00
146,Riyadh,24.6877,46.7219,62.74,27,53,7.58,SA,2021-11-08 02:32:42
147,Te Anau,-45.4167,167.7167,67.66,50,82,4.79,NZ,2021-11-08 02:43:00
148,Vyazemskiy,47.5378,134.7525,34.93,33,100,6.69,RU,2021-11-08 02:43:00
149,Pacific Grove,36.6177,-121.9166,56.88,80,1,1.01,US,2021-11-08 02:43:01
150,Thompson,55.7435,-97.8558,35.76,87,75,2.3,CA,2021-11-08 02:35:47
151,Praya,14.9215,-23.5087,75.74,73,40,17.27,CV,2021-11-08 02:43:02
152,Berezayka,57.9883,33.9036,39.24,97,100,7.76,RU,2021-11-08 02:43:03
153,Kumylzhenskaya,49.8809,42.5898,42.33,80,100,6.55,RU,2021-11-08 02:43:04
154,Namatanai,-3.6667,152.4333,86.63,60,69,11.81,PG,2021-11-08 02:43:04
155,Penzance,50.1186,-5.5371,54.77,91,100,5.82,GB,2021-11-08 02:43:05
156,Waspan,14.7419,-83.9717,73.17,95,96,5.66,NI,2021-11-08 02:43:05
157,Byron Bay,-28.65,153.6167,80.49,83,100,5.59,AU,2021-11-08 02:43:06
158,Sturgeon Falls,46.3646,-79.9326,47.08,87,73,4.74,CA,2021-11-08 02:43:07
159,Salvador,13.8333,-88.9167,70.2,82,75,3.83,SV,2021-11-08 02:43:07
160,Constitucion,-35.3333,-72.4167,54.48,82,4,13.62,CL,2021-11-08 02:39:29
161,Nanortalik,60.1432,-45.2371,30.87,61,100,1.14,GL,2021-11-08 02:39:32
162,Dryden,49.7833,-92.7503,44.89,76,75,6.91,CA,2021-11-08 02:43:08
163,East London,-33.0153,27.9116,64.51,93,100,8.66,ZA,2021-11-08 02:34:41
164,Khatanga,71.9667,102.5,7.84,95,99,11.45,RU,2021-11-08 02:38:27
165,Tromso,69.6496,18.957,32.02,86,75,1.01,NO,2021-11-08 02:40:36
166,Kavaratti,10.5669,72.642,81.52,75,100,7.43,IN,2021-11-08 02:40:48
167,Luderitz,-26.6481,15.1594,55.94,82,0,8.25,NA,2021-11-08 02:43:09
168,Ilulissat,69.2167,-51.1,12.22,48,7,16.11,GL,2021-11-08 02:43:09
169,Sangar,63.9242,127.4739,0.97,93,100,16.13,RU,2021-11-08 02:34:17
170,Dolinsk,47.35,142.8,44.46,51,100,2.17,RU,2021-11-08 02:43:10
171,Kilindoni,-7.9139,39.6668,77.97,73,48,7.7,TZ,2021-11-08 02:43:11
